GRUPO_REFERENCIA;MUNICIPIO_INSTITUCION;DEPARTAMENTO_INSTITUCION;ID_INSTITUCION;INSTITUCION;ORIGEN;CARACTER;SNIES;MUNICIPIO_PROGRAMAACADEMICO;DEPARTAMENTO_PROGRAMAACADEMICO;PROGRAMA_ACADEMICO;NOMBRE_MODULO;TOTAL_EVALGRUPO_INSTPROGRAMA;PROMEDIO_PUNTAJEGLOBAL;DESVI_ESTANDAR_PUNTAJEGLOBAL;PROMEDIO_PUNTAJEPRUEBA;DESVI_ESTANDAR_PUNTAJEPRUEBA
ADMINISTRACIÓN Y AFINES;CARTAGENA DE INDIAS;BOLIVAR;3103;COLEGIO MAYOR DE BOLIVAR-CARTAGENA;OFICIAL NACIONAL;INSTITUCIÓN TECNOLÓGICA;105319;CARTAGENA DE INDIAS;BOLIVAR;ADMINISTRACIÓN DE EMPRESAS;GESTIÓN DE ORGANIZACIONES;14;136;17;122;22
ADMINISTRACIÓN Y AFINES;CARTAGENA DE INDIAS;BOLIVAR;3103;COLEGIO MAYOR DE BOLIVAR-CARTAGENA;OFICIAL NACIONAL;INSTITUCIÓN TECNOLÓGICA;105319;CARTAGENA DE INDIAS;BOLIVAR;ADMINISTRACIÓN DE EMPRESAS;GESTIÓN FINANCIERA;14;136;17;119;24
ADMINISTRACIÓN Y AFINES;BOGOTÁ D.C.;BOGOTA;1714;COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO-BOGOTÁ D.C.;NO OFICIAL - FUNDACIÓN;UNIVERSIDAD;1299;BOGOTÁ D.C.;BOGOTA;ADMINISTRACION DE EMPRESAS;FORMULACIÓN, EVALUACIÓN Y GESTIÓN DE PROYECTOS;82;166;20;164;29
ADMINISTRACIÓN Y AFINES;BOGOTÁ D.C.;BOGOTA;1714;COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO-BOGOTÁ D.C.;NO OFICIAL - FUNDACIÓN;UNIVERSIDAD;1299;BOGOTÁ D.C.;BOGOTA;ADMINISTRACION DE EMPRESAS;GESTIÓN DE ORGANIZACIONES;82;166;20;154;36
ADMINISTRACIÓN Y AFINES;BOGOTÁ D.C.;BOGOTA;1714;COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO-BOGOTÁ D.C.;NO OFICIAL - FUNDACIÓN;UNIVERSIDAD;1299;BOGOTÁ D.C.;BOGOTA;ADMINISTRACION DE EMPRESAS;GESTIÓN FINANCIERA;82;166;20;146;35
ADMINISTRACIÓN Y AFINES;BOGOTÁ D.C.;BOGOTA;1714;COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO-BOGOTÁ D.C.;NO OFICIAL - FUNDACIÓN;UNIVERSIDAD;10574;BOGOTÁ D.C.;BOGOTA;ADMINISTRACION DE NEGOCIOS INTERNACIONALES;FORMULACIÓN, EVALUACIÓN Y GESTIÓN DE PROYECTOS;143;171;22;167;33
ADMINISTRACIÓN Y AFINES;BOGOTÁ D.C.;BOGOTA;1714;COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO-BOGOTÁ D.C.;NO OFICIAL - FUNDACIÓN;UNIVERSIDAD;10574;BOGOTÁ D.C.;BOGOTA;ADMINISTRACION DE NEGOCIOS INTERNACIONALES;GESTIÓN DE ORGANIZACIONES;143;171;22;164;35
ADMINISTRACIÓN Y AFINES;BOGOTÁ D.C.;BOGOTA;1714;COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO-BOGOTÁ D.C.;NO OFICIAL - FUNDACIÓN;UNIVERSIDAD;10574;BOGOTÁ D.C.;BOGOTA;ADMINISTRACION DE NEGOCIOS INTERNACIONALES;GESTIÓN FINANCIERA;143;171;22;157;34
ADMINISTRACIÓN Y AFINES;BOGOTÁ D.C.;BOGOTA;1714;COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO-BOGOTÁ D.C.;NO OFICIAL - FUNDACIÓN;UNIVERSIDAD;52072;BOGOTÁ D.C.;BOGOTA;ADMINISTRACION EN LOGISTICA Y PRODUCCION;FORMULACIÓN, EVALUACIÓN Y GESTIÓN DE PROYECTOS;26;162;19;161;33
ADMINISTRACIÓN Y AFINES;BOGOTÁ D.C.;BOGOTA;1714;COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO-BOGOTÁ D.C.;NO OFICIAL - FUNDACIÓN;UNIVERSIDAD;52072;BOGOTÁ D.C.;BOGOTA;ADMINISTRACION EN LOGISTICA Y PRODUCCION;GESTIÓN DE ORGANIZACIONES;26;162;19;153;35
ADMINISTRACIÓN Y AFINES;BOGOTÁ D.C.;BOGOTA;1714;COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO-BOGOTÁ D.C.;NO OFICIAL - FUNDACIÓN;UNIVERSIDAD;52072;BOGOTÁ D.C.;BOGOTA;ADMINISTRACION EN LOGISTICA Y PRODUCCION;GESTIÓN FINANCIERA;26;162;19;138;22
ADMINISTRACIÓN Y AFINES;POPAYÁN;CAUCA;3104;COLEGIO MAYOR DEL CAUCA-POPAYAN;OFICIAL NACIONAL;INSTITUCIÓN UNIVERSITARIA;54922;POPAYÁN;CAUCA;ADMINISTRACION DE EMPRESAS;FORMULACIÓN, EVALUACIÓN Y GESTIÓN DE PROYECTOS;148;134;18;150;25
ADMINISTRACIÓN Y AFINES;POPAYÁN;CAUCA;3104;COLEGIO MAYOR DEL CAUCA-POPAYAN;OFICIAL NACIONAL;INSTITUCIÓN UNIVERSITARIA;54922;POPAYÁN;CAUCA;ADMINISTRACION DE EMPRESAS;GESTIÓN DE ORGANIZACIONES;148;134;18;131;32
ADMINISTRACIÓN Y AFINES;POPAYÁN;CAUCA;3104;COLEGIO MAYOR DEL CAUCA-POPAYAN;OFICIAL NACIONAL;INSTITUCIÓN UNIVERSITARIA;54922;POPAYÁN;CAUCA;ADMINISTRACION DE EMPRESAS;GESTIÓN FINANCIERA;148;134;18;126;29
ADMINISTRACIÓN Y AFINES;POPAYÁN;CAUCA;3104;COLEGIO MAYOR DEL CAUCA-POPAYAN;OFICIAL NACIONAL;INSTITUCIÓN UNIVERSITARIA;101922;POPAYÁN;CAUCA;ADMINISTRACION FINANCIERA;FORMULACIÓN, EVALUACIÓN Y GESTIÓN DE PROYECTOS;26;138;18;159;25
ADMINISTRACIÓN Y AFINES;POPAYÁN;CAUCA;3104;COLEGIO MAYOR DEL CAUCA-POPAYAN;OFICIAL NACIONAL;INSTITUCIÓN UNIVERSITARIA;101922;POPAYÁN;CAUCA;ADMINISTRACION FINANCIERA;GESTIÓN FINANCIERA;26;138;18;155;33
ADMINISTRACIÓN Y AFINES;BOGOTÁ D.C.;BOGOTA;4822;CORPORACION ESCUELA DE ARTES Y LETRAS-BOGOTÁ D.C.;NO OFICIAL - CORPORACIÓN;INSTITUCIÓN UNIVERSITARIA;102219;BOGOTÁ D.C.;BOGOTA;ADMINISTRACION DE EMPRESAS;FORMULACIÓN, EVALUACIÓN Y GESTIÓN DE PROYECTOS;2;122;37;166;16
ADMINISTRACIÓN Y AFINES;BOGOTÁ D.C.;BOGOTA;4822;CORPORACION ESCUELA DE ARTES Y LETRAS-BOGOTÁ D.C.;NO OFICIAL - CORPORACIÓN;INSTITUCIÓN UNIVERSITARIA;102219;BOGOTÁ D.C.;BOGOTA;ADMINISTRACION DE EMPRESAS;GESTIÓN DE ORGANIZACIONES;2;122;37;145;15
ADMINISTRACIÓN Y AFINES;BOGOTÁ D.C.;BOGOTA;4822;CORPORACION ESCUELA DE ARTES Y LETRAS-BOGOTÁ D.C.;NO OFICIAL - CORPORACIÓN;INSTITUCIÓN UNIVERSITARIA;102219;BOGOTÁ D.C.;BOGOTA;ADMINISTRACION DE EMPRESAS;GESTIÓN FINANCIERA;2;122;37;130;8
ADMINISTRACIÓN Y AFINES;BOGOTÁ D.C.;BOGOTA;4822;CORPORACION ESCUELA DE ARTES Y LETRAS-BOGOTÁ D.C.;NO OFICIAL - CORPORACIÓN;INSTITUCIÓN UNIVERSITARIA;102915;BOGOTÁ D.C.;BOGOTA;ADMINISTRACIÓN DE OBRAS DE ARQUITECTURA;FORMULACIÓN, EVALUACIÓN Y GESTIÓN DE PROYECTOS;6;132;15;158;27
ADMINISTRACIÓN Y AFINES;BOGOTÁ D.C.;BOGOTA;4822;CORPORACION ESCUELA DE ARTES Y LETRAS-BOGOTÁ D.C.;NO OFICIAL - CORPORACIÓN;INSTITUCIÓN UNIVERSITARIA;102915;BOGOTÁ D.C.;BOGOTA;ADMINISTRACIÓN DE OBRAS DE ARQUITECTURA;GESTIÓN DE ORGANIZACIONES;6;132;15;138;34
ADMINISTRACIÓN Y AFINES;BOGOTÁ D.C.;BOGOTA;4822;CORPORACION ESCUELA DE ARTES Y LETRAS-BOGOTÁ D.C.;NO OFICIAL - CORPORACIÓN;INSTITUCIÓN UNIVERSITARIA;102915;BOGOTÁ D.C.;BOGOTA;ADMINISTRACIÓN DE OBRAS DE ARQUITECTURA;GESTIÓN FINANCIERA;6;132;15;135;30
ADMINISTRACIÓN Y AFINES;BARRANQUILLA;ATLANTICO;3821;CORPORACION POLITECNICO DE LA COSTA ATLANTICA-BARRANQUILLA;NO OFICIAL - CORPORACIÓN;INSTITUCIÓN TECNOLÓGICA;53538;BARRANQUILLA;ATLANTICO;ADMINISTRACION DE EMPRESAS;FORMULACIÓN, EVALUACIÓN Y GESTIÓN DE PROYECTOS;116;131;18;141;31
ADMINISTRACIÓN Y AFINES;BARRANQUILLA;ATLANTICO;3821;CORPORACION POLITECNICO DE LA COSTA ATLANTICA-BARRANQUILLA;NO OFICIAL - CORPORACIÓN;INSTITUCIÓN TECNOLÓGICA;53538;BARRANQUILLA;ATLANTICO;ADMINISTRACION DE EMPRESAS;GESTIÓN DE ORGANIZACIONES;116;131;18;121;30
ADMINISTRACIÓN Y AFINES;BARRANQUILLA;ATLANTICO;3821;CORPORACION POLITECNICO DE LA COSTA ATLANTICA-BARRANQUILLA;NO OFICIAL - CORPORACIÓN;INSTITUCIÓN TECNOLÓGICA;53538;BARRANQUILLA;ATLANTICO;ADMINISTRACION DE EMPRESAS;GESTIÓN FINANCIERA;116;131;18;125;27
ADMINISTRACIÓN Y AFINES;BARRANQUILLA;ATLANTICO;3821;CORPORACION POLITECNICO DE LA COSTA ATLANTICA-BARRANQUILLA;NO OFICIAL - CORPORACIÓN;INSTITUCIÓN TECNOLÓGICA;52951;BARRANQUILLA;ATLANTICO;ADMINISTRACION DE MERCADEO;FORMULACIÓN, EVALUACIÓN Y GESTIÓN DE PROYECTOS;47;135;20;139;30
ADMINISTRACIÓN Y AFINES;BARRANQUILLA;ATLANTICO;3821;CORPORACION POLITECNICO DE LA COSTA ATLANTICA-BARRANQUILLA;NO OFICIAL - CORPORACIÓN;INSTITUCIÓN TECNOLÓGICA;52951;BARRANQUILLA;ATLANTICO;ADMINISTRACION DE MERCADEO;GESTIÓN DE ORGANIZACIONES;47;135;20;130;38
ADMINISTRACIÓN Y AFINES;BARRANQUILLA;ATLANTICO;3821;CORPORACION POLITECNICO DE LA COSTA ATLANTICA-BARRANQUILLA;NO OFICIAL - CORPORACIÓN;INSTITUCIÓN TECNOLÓGICA;52951;BARRANQUILLA;ATLANTICO;ADMINISTRACION DE MERCADEO;GESTIÓN FINANCIERA;47;135;20;122;28
ADMINISTRACIÓN Y AFINES;BARRANQUILLA;ATLANTICO;3821;CORPORACION POLITECNICO DE LA COSTA ATLANTICA-BARRANQUILLA;NO OFICIAL - CORPORACIÓN;INSTITUCIÓN TECNOLÓGICA;53537;BARRANQUILLA;ATLANTICO;ADMINISTRACION DE NEGOCIOS INTERNACIONALES;FORMULACIÓN, EVALUACIÓN Y GESTIÓN DE PROYECTOS;86;141;19;145;29
ADMINISTRACIÓN Y AFINES;BARRANQUILLA;ATLANTICO;3821;CORPORACION POLITECNICO DE LA COSTA ATLANTICA-BARRANQUILLA;NO OFICIAL - CORPORACIÓN;INSTITUCIÓN TECNOLÓGICA;53537;BARRANQUILLA;ATLANTICO;ADMINISTRACION DE NEGOCIOS INTERNACIONALES;GESTIÓN DE ORGANIZACIONES;86;141;19;133;30
ADMINISTRACIÓN Y AFINES;BARRANQUILLA;ATLANTICO;3821;CORPORACION POLITECNICO DE LA COSTA ATLANTICA-BARRANQUILLA;NO OFICIAL - CORPORACIÓN;INSTITUCIÓN TECNOLÓGICA;53537;BARRANQUILLA;ATLANTICO;ADMINISTRACION DE NEGOCIOS INTERNACIONALES;GESTIÓN FINANCIERA;86;141;19;122;25
ADMINISTRACIÓN Y AFINES;BOGOTÁ D.C.;BOGOTA;3819;CORPORACION TECNOLOGICA INDUSTRIAL COLOMBIANA - TEINCO-BOGOTÁ D.C.;NO OFICIAL - CORPORACIÓN;INSTITUCIÓN TECNOLÓGICA;91023;BOGOTÁ D.C.;BOGOTA;ADMINISTRACIÓN DE EMPRESAS;FORMULACIÓN, EVALUACIÓN Y GESTIÓN DE PROYECTOS;36;131;18;134;21
ADMINISTRACIÓN Y AFINES;BOGOTÁ D.C.;BOGOTA;3819;CORPORACION TECNOLOGICA INDUSTRIAL COLOMBIANA - TEINCO-BOGOTÁ D.C.;NO OFICIAL - CORPORACIÓN;INSTITUCIÓN TECNOLÓGICA;91023;BOGOTÁ D.C.;BOGOTA;ADMINISTRACIÓN DE EMPRESAS;GESTIÓN DE ORGANIZACIONES;36;131;18;122;25
ADMINISTRACIÓN Y AFINES;BOGOTÁ D.C.;BOGOTA;3819;CORPORACION TECNOLOGICA INDUSTRIAL COLOMBIANA - TEINCO-BOGOTÁ D.C.;NO OFICIAL - CORPORACIÓN;INSTITUCIÓN TECNOLÓGICA;91023;BOGOTÁ D.C.;BOGOTA;ADMINISTRACIÓN DE EMPRESAS;GESTIÓN FINANCIERA;36;131;18;125;21
ADMINISTRACIÓN Y AFINES;BOGOTÁ D.C.;BOGOTA;4813;CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-BOGOTÁ D.C.;NO OFICIAL - CORPORACIÓN;TÉCNICA PROFESIONAL;52612;BOGOTÁ D.C.;BOGOTA;ADMINISTRACION DE EMPRESAS;FORMULACIÓN, EVALUACIÓN Y GESTIÓN DE PROYECTOS;989;130;19;140;30
ADMINISTRACIÓN Y AFINES;BOGOTÁ D.C.;BOGOTA;4813;CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-BOGOTÁ D.C.;NO OFICIAL - CORPORACIÓN;TÉCNICA PROFESIONAL;52605;BOGOTÁ D.C.;BOGOTA;ADMINISTRACION DE EMPRESAS;FORMULACIÓN, EVALUACIÓN Y GESTIÓN DE PROYECTOS;518;134;18;141;27
ADMINISTRACIÓN Y AFINES;BOGOTÁ D.C.;BOGOTA;4813;CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-BOGOTÁ D.C.;NO OFICIAL - CORPORACIÓN;TÉCNICA PROFESIONAL;52612;BOGOTÁ D.C.;BOGOTA;ADMINISTRACION DE EMPRESAS;GESTIÓN DE ORGANIZACIONES;989;130;19;123;29
ADMINISTRACIÓN Y AFINES;BOGOTÁ D.C.;BOGOTA;4813;CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-BOGOTÁ D.C.;NO OFICIAL - CORPORACIÓN;TÉCNICA PROFESIONAL;52605;BOGOTÁ D.C.;BOGOTA;ADMINISTRACION DE EMPRESAS;GESTIÓN DE ORGANIZACIONES;518;134;18;128;29
ADMINISTRACIÓN Y AFINES;BOGOTÁ D.C.;BOGOTA;4813;CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-BOGOTÁ D.C.;NO OFICIAL - CORPORACIÓN;TÉCNICA PROFESIONAL;52612;BOGOTÁ D.C.;BOGOTA;ADMINISTRACION DE EMPRESAS;GESTIÓN FINANCIERA;989;130;19;124;25
ADMINISTRACIÓN Y AFINES;BOGOTÁ D.C.;BOGOTA;4813;CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-BOGOTÁ D.C.;NO OFICIAL - CORPORACIÓN;TÉCNICA PROFESIONAL;52605;BOGOTÁ D.C.;BOGOTA;ADMINISTRACION DE EMPRESAS;GESTIÓN FINANCIERA;518;134;18;125;24
ADMINISTRACIÓN Y AFINES;BOGOTÁ D.C.;BOGOTA;4813;CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-BOGOTÁ D.C.;NO OFICIAL - CORPORACIÓN;TÉCNICA PROFESIONAL;54356;BOGOTÁ D.C.;BOGOTA;ADMINISTRACION DE SERVICIOS DE SALUD;FORMULACIÓN, EVALUACIÓN Y GESTIÓN DE PROYECTOS;185;129;18;127;27
ADMINISTRACIÓN Y AFINES;BOGOTÁ D.C.;BOGOTA;4813;CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-BOGOTÁ D.C.;NO OFICIAL - CORPORACIÓN;TÉCNICA PROFESIONAL;54356;BOGOTÁ D.C.;BOGOTA;ADMINISTRACION DE SERVICIOS DE SALUD;GESTIÓN DE ORGANIZACIONES;185;129;18;115;27
ADMINISTRACIÓN Y AFINES;BOGOTÁ D.C.;BOGOTA;4813;CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-BOGOTÁ D.C.;NO OFICIAL - CORPORACIÓN;TÉCNICA PROFESIONAL;54356;BOGOTÁ D.C.;BOGOTA;ADMINISTRACION DE SERVICIOS DE SALUD;GESTIÓN FINANCIERA;185;129;18;116;20
ADMINISTRACIÓN Y AFINES;BOGOTÁ D.C.;BOGOTA;4813;CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-BOGOTÁ D.C.;NO OFICIAL - CORPORACIÓN;TÉCNICA PROFESIONAL;53578;BOGOTÁ D.C.;BOGOTA;ADMINISTRACION PUBLICA;FORMULACIÓN, EVALUACIÓN Y GESTIÓN DE PROYECTOS;161;129;20;135;26
ADMINISTRACIÓN Y AFINES;BOGOTÁ D.C.;BOGOTA;4813;CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-BOGOTÁ D.C.;NO OFICIAL - CORPORACIÓN;TÉCNICA PROFESIONAL;53578;BOGOTÁ D.C.;BOGOTA;ADMINISTRACION PUBLICA;GESTIÓN DE ORGANIZACIONES;161;129;20;118;28
ADMINISTRACIÓN Y AFINES;BOGOTÁ D.C.;BOGOTA;4813;CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-BOGOTÁ D.C.;NO OFICIAL - CORPORACIÓN;TÉCNICA PROFESIONAL;53578;BOGOTÁ D.C.;BOGOTA;ADMINISTRACION PUBLICA;GESTIÓN FINANCIERA;161;129;20;118;22
ADMINISTRACIÓN Y AFINES;BOGOTÁ D.C.;BOGOTA;4813;CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-BOGOTÁ D.C.;NO OFICIAL - CORPORACIÓN;TÉCNICA PROFESIONAL;53078;BOGOTÁ D.C.;BOGOTA;ADMINISTRACION TURISTICA Y HOTELERA;FORMULACIÓN, EVALUACIÓN Y GESTIÓN DE PROYECTOS;170;140;18;136;28
ADMINISTRACIÓN Y AFINES;BOGOTÁ D.C.;BOGOTA;4813;CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-BOGOTÁ D.C.;NO OFICIAL - CORPORACIÓN;TÉCNICA PROFESIONAL;53078;BOGOTÁ D.C.;BOGOTA;ADMINISTRACION TURISTICA Y HOTELERA;GESTIÓN DE ORGANIZACIONES;170;140;18;126;26
ADMINISTRACIÓN Y AFINES;BOGOTÁ D.C.;BOGOTA;4813;CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-BOGOTÁ D.C.;NO OFICIAL - CORPORACIÓN;TÉCNICA PROFESIONAL;53078;BOGOTÁ D.C.;BOGOTA;ADMINISTRACION TURISTICA Y HOTELERA;GESTIÓN FINANCIERA;170;140;18;126;23
ADMINISTRACIÓN Y AFINES;BOGOTÁ D.C.;BOGOTA;4813;CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-BOGOTÁ D.C.;NO OFICIAL - CORPORACIÓN;TÉCNICA PROFESIONAL;53047;BOGOTÁ D.C.;BOGOTA;PROFESIONAL EN NEGOCIOS INTERNACIONALES;FORMULACIÓN, EVALUACIÓN Y GESTIÓN DE PROYECTOS;251;141;19;143;28
ADMINISTRACIÓN Y AFINES;BOGOTÁ D.C.;BOGOTA;4813;CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-BOGOTÁ D.C.;NO OFICIAL - CORPORACIÓN;TÉCNICA PROFESIONAL;53047;BOGOTÁ D.C.;BOGOTA;PROFESIONAL EN NEGOCIOS INTERNACIONALES;GESTIÓN DE ORGANIZACIONES;251;141;19;128;28
ADMINISTRACIÓN Y AFINES;BOGOTÁ D.C.;BOGOTA;4813;CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-BOGOTÁ D.C.;NO OFICIAL - CORPORACIÓN;TÉCNICA PROFESIONAL;53047;BOGOTÁ D.C.;BOGOTA;PROFESIONAL EN NEGOCIOS INTERNACIONALES;GESTIÓN FINANCIERA;251;141;19;129;24
ADMINISTRACIÓN Y AFINES;BARRANQUILLA;ATLANTICO;2810;CORPORACION UNIVERSIDAD DE LA COSTA, CUC-BARRANQUILLA;NO OFICIAL - CORPORACIÓN;INSTITUCIÓN UNIVERSITARIA;90865;BARRANQUILLA;ATLANTICO;ADMINISTRACION AMBIENTAL;FORMULACIÓN, EVALUACIÓN Y GESTIÓN DE PROYECTOS;17;138;17;135;24
ADMINISTRACIÓN Y AFINES;BARRANQUILLA;ATLANTICO;2810;CORPORACION UNIVERSIDAD DE LA COSTA, CUC-BARRANQUILLA;NO OFICIAL - CORPORACIÓN;INSTITUCIÓN UNIVERSITARIA;90865;BARRANQUILLA;ATLANTICO;ADMINISTRACION AMBIENTAL;GESTIÓN DE ORGANIZACIONES;17;138;17;111;37
ADMINISTRACIÓN Y AFINES;BARRANQUILLA;ATLANTICO;2810;CORPORACION UNIVERSIDAD DE LA COSTA, CUC-BARRANQUILLA;NO OFICIAL - CORPORACIÓN;INSTITUCIÓN UNIVERSITARIA;90865;BARRANQUILLA;ATLANTICO;ADMINISTRACION AMBIENTAL;GESTIÓN FINANCIERA;17;138;17;103;31
ADMINISTRACIÓN Y AFINES;BARRANQUILLA;ATLANTICO;2810;CORPORACION UNIVERSIDAD DE LA COSTA, CUC-BARRANQUILLA;NO OFICIAL - CORPORACIÓN;INSTITUCIÓN UNIVERSITARIA;13539;BARRANQUILLA;ATLANTICO;ADMINISTRACION DE EMPRESAS;FORMULACIÓN, EVALUACIÓN Y GESTIÓN DE PROYECTOS;196;136;19;148;28
ADMINISTRACIÓN Y AFINES;BARRANQUILLA;ATLANTICO;2810;CORPORACION UNIVERSIDAD DE LA COSTA, CUC-BARRANQUILLA;NO OFICIAL - CORPORACIÓN;INSTITUCIÓN UNIVERSITARIA;13539;BARRANQUILLA;ATLANTICO;ADMINISTRACION DE EMPRESAS;GESTIÓN DE ORGANIZACIONES;196;136;19;134;31
